                                file_name  line    avg_per_time   hits    total_time       graph                                                                                                                                                                                                                                                                                                                                           code
-----------------------------------------  ----  --------------  -----  ------------  ----------  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
/home/isucon/isucari/webapp/python/app.py    60               0      0             0              def __init__(self, status_code, message):
/home/isucon/isucari/webapp/python/app.py    61        2120.278     18         38165                  Exception.__init__(self)
/home/isucon/isucari/webapp/python/app.py    62        1542.944     18         27773                  self.message = message
/home/isucon/isucari/webapp/python/app.py    63         958.333     18         17250                  self.status_code = status_code
/home/isucon/isucari/webapp/python/app.py    65               0      0             0              def get_response(self):
/home/isucon/isucari/webapp/python/app.py    66       679196.15     20      13583923                  response = flask.jsonify({'error': self.message})
/home/isucon/isucari/webapp/python/app.py    67        6757.905     21        141916                  response.status_code = self.status_code
/home/isucon/isucari/webapp/python/app.py    68          346.81     21          7283                  return response
/home/isucon/isucari/webapp/python/app.py    71               0      0             0              def dbh():
/home/isucon/isucari/webapp/python/app.py    72       25958.433    609      15808686                  if hasattr(flask.g, 'db'):
/home/isucon/isucari/webapp/python/app.py    73       17522.811    424       7429672                      return flask.g.db
/home/isucon/isucari/webapp/python/app.py    74               0      0             0
/home/isucon/isucari/webapp/python/app.py    75        1104.092    184        203153                  flask.g.db = MySQLdb.connect(
/home/isucon/isucari/webapp/python/app.py    76       35847.707    184       6595978                      host=os.getenv('MYSQL_HOST', '127.0.0.1'),
/home/isucon/isucari/webapp/python/app.py    77       17572.158    183       3215705                      port=int(os.getenv('MYSQL_PORT', 3306)),
/home/isucon/isucari/webapp/python/app.py    78       15401.661    183       2818504                      user=os.getenv('MYSQL_USER', 'isucari'),
/home/isucon/isucari/webapp/python/app.py    79       80825.311    183      14791032                      password=os.getenv('MYSQL_PASS', 'isucari'),
/home/isucon/isucari/webapp/python/app.py    80       15747.825    183       2881852                      db=os.getenv('MYSQL_DBNAME', 'isucari'),
/home/isucon/isucari/webapp/python/app.py    81         484.984    183         88752                      charset='utf8mb4',
/home/isucon/isucari/webapp/python/app.py    82         1216.41    183        222603                      cursorclass=MySQLdb.cursors.DictCursor,
/home/isucon/isucari/webapp/python/app.py    83     9601115.956    180    1728200872                       autocommit=True,
/home/isucon/isucari/webapp/python/app.py    84               0      0             0                  )
/home/isucon/isucari/webapp/python/app.py    85       42868.931    202       8659524                  cur = flask.g.db.cursor()
/home/isucon/isucari/webapp/python/app.py    86         795.401    202        160671                  cur.execute(
/home/isucon/isucari/webapp/python/app.py    87     2722802.395    200     544560479                      "SET SESSION sql_mode='STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'")
/home/isucon/isucari/webapp/python/app.py    88       28643.904    219       6273015                  return flask.g.db
/home/isucon/isucari/webapp/python/app.py    91               0      0             0              def http_json_error(code, msg):
/home/isucon/isucari/webapp/python/app.py    92         11469.6     20        229392                  raise HttpException(code, msg)
/home/isucon/isucari/webapp/python/app.py    95               0      0             0              @app.errorhandler(HttpException)
/home/isucon/isucari/webapp/python/app.py    96               0      0             0              def handle_http_exception(error):
/home/isucon/isucari/webapp/python/app.py    97      679917.545     22      14958186                  return error.get_response()
/home/isucon/isucari/webapp/python/app.py   100               0      0             0              def random_string(length):
/home/isucon/isucari/webapp/python/app.py   101        2500.902     51        127546                  letters = string.ascii_lowercase + string.digits
/home/isucon/isucari/webapp/python/app.py   102      182044.242    810     147455836                    return ''.join(random.choice(letters) for _ in range(length))
/home/isucon/isucari/webapp/python/app.py   103               0      0             0
/home/isucon/isucari/webapp/python/app.py   104               0      0             0
/home/isucon/isucari/webapp/python/app.py   105               0      0             0              def get_user():
/home/isucon/isucari/webapp/python/app.py   106       25317.147    136       3443132                  user_id = flask.session.get("user_id")
/home/isucon/isucari/webapp/python/app.py   107         509.338    136         69270                  if user_id is None:
/home/isucon/isucari/webapp/python/app.py   108               0      0             0                      http_json_error(requests.codes['not_found'], "no session")
/home/isucon/isucari/webapp/python/app.py   109         415.853    136         56556                  try:
/home/isucon/isucari/webapp/python/app.py   110    11054726.537    134    1481333356                       conn = dbh()
/home/isucon/isucari/webapp/python/app.py   111       104755.16    156      16341805                      with conn.cursor() as c:
/home/isucon/isucari/webapp/python/app.py   112         455.929    156         71125                          sql = "SELECT * FROM `users` WHERE `id` = %s"
/home/isucon/isucari/webapp/python/app.py   113     3284168.222    153     502477738                          c.execute(sql, [user_id])
/home/isucon/isucari/webapp/python/app.py   114       11760.019    160       1881603                          user = c.fetchone()
/home/isucon/isucari/webapp/python/app.py   115        44714.25    160       7154280                          if user is None:
/home/isucon/isucari/webapp/python/app.py   116               0      0             0                              http_json_error(requests.codes['not_found'], "user not found")
/home/isucon/isucari/webapp/python/app.py   117               0      0             0                  except MySQLdb.Error as err:
/home/isucon/isucari/webapp/python/app.py   118               0      0             0                      app.logger.exception(err)
/home/isucon/isucari/webapp/python/app.py   119               0      0             0                      http_json_error(requests.codes['internal_server_error'], "db error")
/home/isucon/isucari/webapp/python/app.py   120         586.608    158         92684                  return user
/home/isucon/isucari/webapp/python/app.py   123               0      0             0              def get_user_or_none():
/home/isucon/isucari/webapp/python/app.py   124         23776.0     15        356640                  user_id = flask.session.get("user_id")
/home/isucon/isucari/webapp/python/app.py   125         432.867     15          6493                  if user_id is None:
/home/isucon/isucari/webapp/python/app.py   126               0      0             0                      return None
/home/isucon/isucari/webapp/python/app.py   127           368.0     15          5520                  try:
/home/isucon/isucari/webapp/python/app.py   128    24686939.846     13     320930218                        conn = dbh()
/home/isucon/isucari/webapp/python/app.py   129       25706.813     16        411309                      with conn.cursor() as c:
/home/isucon/isucari/webapp/python/app.py   130         499.125     16          7986                          sql = "SELECT * FROM `users` WHERE `id` = %s"
/home/isucon/isucari/webapp/python/app.py   131    11776998.875     16     188431982                          c.execute(sql, [user_id])
/home/isucon/isucari/webapp/python/app.py   132        11977.32     25        299433                          user = c.fetchone()
/home/isucon/isucari/webapp/python/app.py   133        50199.44     25       1254986                          if user is None:
/home/isucon/isucari/webapp/python/app.py   134               0      0             0                              return None
/home/isucon/isucari/webapp/python/app.py   135               0      0             0                  except MySQLdb.Error as err:
/home/isucon/isucari/webapp/python/app.py   136               0      0             0                      app.logger.exception(err)
/home/isucon/isucari/webapp/python/app.py   137               0      0             0                      return None
/home/isucon/isucari/webapp/python/app.py   138          607.48     25         15187                  return user
/home/isucon/isucari/webapp/python/app.py   140               0      0             0              def _select_from_items_and_users(join_column):
/home/isucon/isucari/webapp/python/app.py   141               0      0             0                  return "SELECT `items`.*," +\
/home/isucon/isucari/webapp/python/app.py   142               0      0             0                  " users.id AS " + join_column + "_id," +\
/home/isucon/isucari/webapp/python/app.py   143               0      0             0                  " users.account_name AS " + join_column + "_account_name," +\
/home/isucon/isucari/webapp/python/app.py   144               0      0             0                  " users.address AS " + join_column + "_address," +\
/home/isucon/isucari/webapp/python/app.py   145               0      0             0                  " users.num_sell_items AS " + join_column + "_num_sell_items" +\
/home/isucon/isucari/webapp/python/app.py   146        3066.473    148        453838                  " FROM `items` INNER JOIN users ON `items`." + join_column + " = `users`.id"
/home/isucon/isucari/webapp/python/app.py   148               0      0             0              def get_user_simple_by_id(user_id):
/home/isucon/isucari/webapp/python/app.py   149           433.0     30         12990                  try:
